Filename,Expected Result,Z3 Result,CVC5 Result,Yices2 Result
issue_345_block_1.smt2,unsat,unsat,sat,unsat
issue_433_block_1.smt2,unsat,unsat,unsat,unsat
issue_402_block_1.smt2,sat,sat,sat,sat
issue_347_block_2.smt2,error,sat,error,error
issue_343_block_1.smt2,unsat,unsat,sat,unsat
issue_226_block_1.smt2,sat,unsat,sat,sat
issue_346_block_1.smt2,unsat,unsat,sat,unsat
issue_347_block_1.smt2,inconclusive,unsat,sat,error
issue_440_block_1.smt2,sat,sat,sat,sat
issue_284_block_1.smt2,sat,sat,sat,sat
issue_10584_block_1.smt2,inconclusive,unsat,unknown,error
issue_9900_block_1.smt2,inconclusive,sat,timeout,unknown
issue_9790_block_1.smt2,sat,sat,sat,unknown
issue_8900_block_1.smt2,sat,sat,sat,sat
issue_10213_block_1.smt2,sat,sat,sat,error
issue_9919_block_1.smt2,inconclusive,unsat,sat,unknown
issue_10119_block_1.smt2,unsat,unsat,unsat,unsat
issue_9571_block_1.smt2,sat,sat,sat,unknown
issue_10619_block_1.smt2,unsat,unsat,unsat,unknown
issue_9571_block_2.smt2,sat,sat,sat,unknown
issue_9998_block_1.smt2,sat,sat,sat,error
issue_10478_block_1.smt2,sat,sat,sat,error
issue_7240_block_1.smt2,error,sat,error,error
issue_7372_block_2.smt2,sat,sat,sat,unknown
issue_3595_block_1.smt2,error,sat,error,error
issue_7262_block_1.smt2,error,sat,error,error
issue_6819_block_1.smt2,unsat,unsat,unsat,unknown
issue_6461_block_1.smt2,sat,sat,sat,error
issue_6511_block_1.smt2,error,unsat,error,error
issue_6880_block_1.smt2,error,unknown,error,error
issue_7374_block_1.smt2,sat,sat,sat,unknown
issue_7373_block_1.smt2,inconclusive,unknown,timeout,sat
issue_6578_block_1.smt2,sat,sat,error,sat
issue_6617_block_1.smt2,unknown,sat,unknown,unknown
issue_6605_block_1.smt2,inconclusive,unknown,unsat,error
issue_7372_block_1.smt2,sat,sat,sat,unknown
issue_7375_block_1.smt2,sat,sat,sat,sat
